Decem Libri Historiarum;PERSON;latin;Aaron;Aaron
Decem Libri Historiarum;PERSON;latin;Abbacuc;Abbacuc
Decem Libri Historiarum;PERSON;latin;Abel;Abel
Decem Libri Historiarum;PERSON;latin;Abitus;Abiti,Avitus
Decem Libri Historiarum;PERSON;latin;Abiud;Abiud
Decem Libri Historiarum;PERSON;latin;Abraham;Abraham
Decem Libri Historiarum;PERSON;latin;Aprunculus;Aprunculo,Aprunculus,Aprunculi,Abrunculus
Decem Libri Historiarum;PERSON;latin;Absalon;Absalonem,Absolonem
Decem Libri Historiarum;PERSON;latin;Achaz;Achaz
Decem Libri Historiarum;PERSON;latin;Achim;Achim
Decem Libri Historiarum;PERSON;latin;Adam;Adam
Decem Libri Historiarum;PERSON;latin;Adovacrius;Adovacrius,Adovacrio,Odovacrius
Decem Libri Historiarum;PERSON;latin;Adovarius;Adovarius,Adovario
Decem Libri Historiarum;PERSON;latin;Adrianus;Adrianus,Adriano
Decem Libri Historiarum;PERSON;latin;Aegylanis;Aegylanis
Decem Libri Historiarum;PERSON;latin;Aetherius;Aetherius,Aetherium,Aetherio
Decem Libri Historiarum;PERSON;latin;Aetius;Aetium,Aetius,Aeti,Aetii,Aetio
Decem Libri Historiarum;PERSON;latin;Agasastus;Agasastus
Decem Libri Historiarum;PERSON;latin;Agatadis;Agatadis,Agatadi
Decem Libri Historiarum;PERSON;latin;Agericus;Agericum,Agericus,Agerici,Agerico,Agiricus
Decem Libri Historiarum;PERSON;latin;Agila;Agila,Agilane,Agilanem
Decem Libri Historiarum;PERSON;latin;Aginus;Aginum
Decem Libri Historiarum;PERSON;latin;Agyno;Agyno
Decem Libri Historiarum;PERSON;latin;Agnes;Agne,Agni,Agnis,Agnitem,Agnite
Decem Libri Historiarum;PERSON;latin;Agricius;Agricium
Decem Libri Historiarum;PERSON;latin;Agricolae;Agricolae
Decem Libri Historiarum;PERSON;latin;Agroecula;Agroecula,Agroecola,Agroeculae
Decem Libri Historiarum;PERSON;latin;Agroetius;Agroetius
Decem Libri Historiarum;PERSON;latin;Agustus;Agusti,Agustus,Augustum,Augusto,Augusti
Decem Libri Historiarum;PERSON;latin;Alaricus;Alaricum,Alarici,Alarico,Alaricus
Decem Libri Historiarum;PERSON;latin;Albinus;Albinus,Albini,Albinum
Decem Libri Historiarum;PERSON;latin;Alboenus;Alboeno,Alboeni,Alboenus
Decem Libri Historiarum;PERSON;latin;Albofledis;Albofledis
Decem Libri Historiarum;PERSON;latin;Alchima;Alchima
Decem Libri Historiarum;PERSON;latin;Alexander;Alexandri
Decem Libri Historiarum;PERSON;latin;Alithius;Alithium
Decem Libri Historiarum;PERSON;latin;Amalaberga;Amalaberga
Decem Libri Historiarum;PERSON;latin;Amalaricus;Amalarici,Amalaricum,Amalarico,Amalaricus
Decem Libri Historiarum;PERSON;latin;Amalo;Amalo
Decem Libri Historiarum;PERSON;latin;Amandus;Amandus
Decem Libri Historiarum;PERSON;latin;Amantes;Amantes
Decem Libri Historiarum;PERSON;latin;Ambrosius;Ambrosium,Ambrosii,Ambrosio
Decem Libri Historiarum;PERSON;latin;Amelius;Amelio,Amelius
Decem Libri Historiarum;PERSON;latin;Amalonis;Amalonis
